Company Name,URL,Focus Areas,Short Description
Pygma,https://pygma.app/,Frontend,Turn Figma designs into high-quality code
The.com,the.com,"Frontend,Marketing","Expand your share of the web, automatically. The.com generates webpages programmatically using language models.
"
Viable,https://www.askviable.com/,Product Insights,Harness the power of our AI and GPT-3 to automate your qualitative data analysis without compromising quality.
Enterpret,https://www.enterpret.com/,Product Insights,"Prioritize your roadmap confidently, spot emerging feedback trends and anomalies, and integrate with product analytics for deeper insights."
Anecdote,https://www.anec.app/,Product Insights,"Our AI engine reads support tickets, chats, social media, phone calls, NPS surveys, app store reviews to produce company specific stories. "
Staircase,https://staircase.ai/,Product Insights,Uncover your blind spots from customer communications
Algolia,https://www.algolia.com/,Search,Algolia empowers Builders with Search and Recommendation services to create world-class digital experiences.
Deepset AI Haystack,https://github.com/deepset-ai/haystack,Search,Haystack is an end-to-end framework that enables you to build powerful and production-ready pipelines for different search use cases
Metaphor,https://metaphor.systems/,Search,Reimagining Search
You,https://you.com/,Search,The search engine you control.
Perplexity.ai,https://perplexity.ai/,Search,We are a stealth mode startup working on redefining search experience
Glean,https://www.glean.com/,Search,Glean searches across all your company's apps to help you find exactly what you need and discover the things you should know.
Andi,https://andisearch.com/,Search,"I'm Andi, your smart search assistant"
Naver HyperCLOVA,https://venturebeat.com/uncategorized/navers-large-language-model-is-powering-shopping-recommendations/,Recommendations,Naver’s large language model is powering shopping recommendations
Shaped AI,https://www.shaped.ai/,Recommendations,Recommendation APIs that actually increase your conversions.
Character AI,https://beta.character.ai/,Chatbot,Character.AI is bringing to life the science-fiction dream of open-ended conversations and collaborations with computers.
Chai.ml,https://chai.ml/,Chatbot,Build and deploy an AI chatbot to thousands of users.
Gemsouls,https://www.mygemsouls.com/,Chatbot,"Meet, befriend, and create virtual characters"
Circle Labs,https://circlelabs.xyz/,Chatbot,make ur own bots and chat with them on discord
Replika,https://replika.com/,Chatbot,The AI companion who cares
Alethea AI,https://m.alethea.ai/,Chatbot,Alethea AI™ is building a protocol for Interactive and Intelligent NFTs (iNFTs). The iNFT® protocol enables anyone to easily create AI-powered NFTs and add more utility to their favorite digital assets.
maya,https://meetmaya.world/,Chatbot,A market intelligence engine that combines business with external data to develop faster and more accurate decisions.
Daemon,https://mydaemon.ai/,Chatbot,Revolutionary personal AI
Quickchat,https://www.quickchat.ai/,Chatbot,Technology to build AI Assistants that talk like a Human
Friday,https://friday.education/,"Chatbot,Search",
Forethought,https://forethought.ai/,"Chatbot,Customer Service",A customer service platform powered by AI.
Adept AI,https://www.adept.ai/,General Software Tool Assistant,Adept is an ML research and product lab building general intelligence by enabling humans and computers to work together creatively.
Inflection AI,https://inflection.ai/,General Software Tool Assistant,"Inflection is an AI-first company, redefining human-computer interaction"
Bardeen,https://www.bardeen.ai/,General Software Tool Assistant,"Bardeen saves you time by automating repetitive tasks with a shortcut.
It combines a powerful workflow builder, AI-based recommendations, and contextual automations."
Letterdrop,https://letterdrop.com/,Content Operations,Your Content Operations on Autopilot
regie.ai,https://www.regie.ai/,Content Operations,"An AI content platform for GTM teams
"
Explainpaper,https://www.explainpaper.com/,"Content Operations,Knowledge Management",A better way to read academic papers.
Mem AI,https://get.mem.ai/,Knowledge Management,"Introducing the world's first self-organizing workspace. Mem is the easiest way to capture, share, and make use of knowledge."
Fermat,https://fermat.ws/,"Knowledge Management,Content Operations",Unstuck your brainstorming with AI on a spatial canvas.
Rosebud AI,https://www.rosebud.ai/,Images,AI Generated Visuals
PhotoRoom,https://www.photoroom.com/,Images,Remove background automatically and create professional images.
Lexica,https://lexica.art/,Images,The Stable Diffusion search engine
Craiyon,https://www.craiyon.com/,Images,AI model drawing images from any prompt!
Playground.ai,https://playgroundai.com/,Images,A search tool for ai generated images.
SALT,https://mobile.twitter.com/SALT_VERSE,Images,"SALT is the world's first fully AI-generated multiplot ""film"" - a web6 internet adventure where your choices create a 1970s lo-fi sci-fi universe."
Art Breeder,https://www.artbreeder.com/,Images,Generate AI art with a community.
Pixelz,https://pixelz.ai/,Images,AI Art Generator
Botika,https://botika.io/,Images,Unleash the potential of unlimited visual content
Pirr,https://www.pirr.me/,"Images,Video,Voice","Pirr generates erotic fantasies using AI. 
"
RunwayML,https://runwayml.com/,Video,"Magical AI tools, realtime collaboration, precision editing, and more. Your next-generation content creation suite."
Tavus,https://www.tavus.io/,Video,Record once and watch as our AI automatically generates personalized videos in one click.
Synthesia,https://www.synthesia.io/,Video,Create videos from plain text in minutes
Rephrase AI,https://www.rephrase.ai/,Video,Humanize communication with digital avatars
Hour One,https://hourone.ai/,Video,"Turn text into video, featuring virtual presenters, automatically"
Soundraw,https://soundraw.io/,Music,Soundraw is a music generator for creators.
Boomy,https://boomy.com/,Music,Make instant music and share it with the world
Aimi,https://www.aimi.fm/,Music,Experience interactive music
Aiva,https://www.aiva.ai/,Music,The Artificial Intelligence composing emotional soundtrack music
Postearly,https://postearly.app/ai,Social,The Community Manager of the Community Manager
Wombo.ai,https://www.wombo.ai/,Social,WOMBO is the world's best AI-powered lip sync app.
Podcast,https://podcast.ai/,"Social,Speech,Communication","Podcast.ai is a podcast that is entirely generated by artificial intelligence. Every week, we explore a new topic in depth, and listeners can suggest topics or even guests and hosts for future episodes."
Humanloop,https://humanloop.com/,Tooling,"Make GPT-3 faster, cheaper, more effective"
Everyprompt,https://www.everyprompt.com/login,Tooling,Everyprompt is a prompt-management tool for working with language models.
Dust,https://www.dust.tt/,Tooling,Design and Deploy Large Language Model Apps
Yurts.ai,https://yurts.ai/,Tooling,"We want to put the power of foundational models in the hands of developers so they can build, innovate, and inspire."
Chroma,https://www.trychroma.com/,Tooling,Always optimal ML training data
Generally Intelligent,https://generallyintelligent.com/,Tooling,Generally Intelligent is developing general-purpose AI agents with human-like intelligence that can be safely deployed in the real world. They are initially building out the Avalon benchmark for RL agents using a 3D simulator.
Common Sense Machines,https://csm.ai/,Tooling,Common Sense Machines is building artificial intelligence that learns to translate the world into a 3D simulation
Replicate,https://replicate.com/,Tooling,Run open-source models with a cloud API.
Banana,https://www.banana.dev/,Tooling,Scaleable inference hosting for your machine learning models on serverless GPUs.
mosaicml,https://www.mosaicml.com/,Tooling,The MosaicML cloud makes it easy to train any size model on any number of GPUs. Achieve more accurate results faster and seamlessly scale your workloads with our distributed training methods.
co:here,https://cohere.ai/,Tooling,co:here offers NLP models and LLMs as a service.
Otherside AI,https://www.othersideai.com/,Writing,Reimagining writing
Sudowrite,https://www.sudowrite.com/,Writing,Bust writer’s block with our magical writing AI.
Lex,https://lex.page/,Writing,Unlock your best writing
Wordtune,https://www.wordtune.com/,Writing,Your thoughts in words
Compose AI,https://www.compose.ai/,Writing,Compose AI is a free Chrome extension that cuts your writing time by 40% with AI-powered autocompletion
Rytr,https://rytr.me/,Writing,"Rytr is an AI writing assistant that helps you create high-quality content, in just a few seconds, at a fraction of the cost!"
Glasp,https://glasp.co/,Writing,"Glasp is a social web highlighter that people can use to highlight and organize quotes and ideas from the web without switching back and forth between screens, and access other like-minded people’s learning at the same time."
Fable,https://fableml.com/,Writing,A writing and publishing tool powered by LLMs.
AI21 Labs,https://www.ai21.com/,Writing,AI21 Labs is building language models for reading and writing.
Moonbeam,https://www.gomoonbeam.com/,Writing,Moonbeam's AI will give you everything you need to write killer long form content.
Subtxt,https://subtxt.app/,Writing,AI-Powered Storytelling
Laika,https://www.writewithlaika.com/,Writing,LAIKA trains an artificial intelligence on your own writing to create a personalised creative partner-in-crime. 
NovelAI,https://novelai.net/,Writing,"NovelAI is a monthly subscription service for AI-assisted authorship, storytelling, virtual companionship, or simply a GPT powered sandbox for your imagination."
Super Fragile,https://superfragile.com/,Writing,SuperFragile is a Startup that aims to create experiences that fully harness the extraordinary potential of the human mind.
Lavender,https://www.lavender.ai/,Sales,Lavender is designed to improve your sales team's workflow.
Smartwriter.ai,https://www.smartwriter.ai/,Sales,Generate 1000s of Personalised Emails that get you 8x more replies within minutes using AI
oliv.ai,https://www.oliv.ai/,Sales,"Oliv learns winning practices from recorded sales conversations, guides sellers to shine in every meeting and helps managers monitor sales process adoption."
Twain,https://www.usetwain.com/,Sales,Twain is the AI communication assistant for outreach
Outplay,https://outplayhq.com/,Sales,The ONLY Sales Engagement Platform that makes selling easy
Creatext,https://www.creatext.ai/,Sales,Creatext researches your prospects & suggests hyper-personalized snippets for your outreach.
Resemble AI,https://www.resemble.ai/,Speech,Resemble’s AI voice generator lets you create human–like voice overs in seconds. 
Wellsaid,https://wellsaidlabs.com/,Speech,"With WellSaid, you and your team can create a compelling realistic AI voice over for all your digital content."
VoiceMod,https://www.voicemod.net/,Speech,Free Real-Time Voice Changer
Soundful,https://soundful.com/,Speech,"Soundful's proprietary Song Synth technology helps you generate and download unique, royalty-free tracks at the click of a button"
Harvey,https://harvey.ai/,Legal,
PatentPal,https://patentpal.com/,Legal,Automate mechanical writing in your patent applications.
Darrow,https://www.darrow.ai/,Legal,Darrow scans publicly available data to detect hidden legal violations and turns them into cases for legal firms to pursue.
casetext,https://casetext.com/,Legal,Modern search technology that finds cases Lexis and Westlaw miss.
Diagram,https://diagram.com/,Design,Magical new ways to design products.
Tailorbird,https://www.tailorbird.us/,Design,Tailorbird uses deep learning to generate floor plans for homeowners looking to perform renovations. 
Diagram,https://diagram.com/,Design,Magical new ways to design products using AI.
Alpaca,https://www.getalpaca.io/,Design,A photoshop plugin for generative AI.
uizard,https://uizard.io/,Design,Visualize and communicate your ideas effortlessly.
Ponzu,https://www.ponzu.ai/,Icons,Ponzu helps you create custom logos with the power of AI.
Omneky,https://www.omneky.com/,Marketing,Grow Sales with AI-Powered Creative
Frase,https://www.frase.io/,Marketing,Create Content Fast with AI
Mutiny,https://www.mutinyhq.com/,Marketing,Turn your website into your #1 revenue channel
Simplified,https://simplified.com/ai-art-generator,Marketing,"Design, Write, Edit videos, and Publish Content. Built For Teams."
Adflow,https://www.adflow.ai/,Marketing,"Adflow turns a few words into engaging, high conversion copy to increase sales and boost your brand."
Osmosis,http://osmosis.studio/,"Marketing,Images",The one-stop-shop for product ad creative and optimization powered by Generative A
Keys,https://www.thekeys.ai/,Communication,Start conversations and keep them going with the world's first intent-based communication system
ManageBetter,https://managebetter.com/,Communication,"Our products help managers grow productive teams through personalized action plans, relevant career goals, and actionable feedback. "
Onloop,https://www.onloop.com/,Communication,Onloop is to team development what the Apple Watch is to fitness
Cogram,https://www.cogram.com/,Summarization,"Cogram uses state-of-the-art AI to generate high-quality minutes, identify action items, and summarise your meetings."
Xyla,https://xyla.com/,Medicine,Xyla is fulfilling its mission of organizing the world’s medical knowledge and making it more useful
Latitude,https://latitude.io/,Gaming,Latitude is making AI a tool of creativity and freedom for everyone. Latitude has built AI Dungeon which is one of the first games and commercial applications using language models.
spellbrush,https://spellbrush.com/,Gaming,We make anime indie games and Artificial Intelligence.
Cresta,https://cresta.com/,Customer Service,"Cresta is real-time intelligence for the contact center. Our modular AI-powered products quickly layer into any contact center to help agents, managers, and leaders work together to grow revenue and improve efficiency.

"
symbl.ai,https://symbl.ai/,Customer Service,"Unlock user intents and critical business insights from unstructured conversation data in real-time with cutting edge AI.

"
Aide,https://aide.app/,Customer Service,Understand and solve every support issue in seconds
Play.ht,https://play.ht/,Voice,"Built using next generation AI speech technology, Play.ht’s voices capture emotion from text to generate speech that is truly human-like."
Altered AI,https://www.altered.ai/,Voice,Our unique technology allows you to change your voice to any of our carefully curated portfolio or custom voices and create compelling professional voice performances.
AMAI,https://amai.io/,Voice,AI Voices That Sound Like Humans but Scale Like Software
Cradle,http://cradle.bio,Biology,"Cradle designs cell-factories using breakthroughs in machine-learning as well as wet-lab technologies.
"
